"date","pr","srad","tmmn","tmmx","vs","vpd"
1979-01-01,0,185.5,259.3,269.8,8,0.26
1979-01-02,0,135.3,257.6,276.3,4.9,0.41
1979-01-03,0,106.7,265.9,281.2,2.7,0.51
1979-01-04,0,135.4,268.4,282.2,3.7,0.55
1979-01-05,3.7,73.7,268.8,280.7,5.2,0.33
1979-01-06,5.4,79.9,267.1,276.2,3.6,0.14
1979-01-07,3.2,124.4,267.3,277.5,1.9,0.21
1979-01-08,0.5,125.5,266.3,278.3,1.3,0.27
1979-01-09,2.8,107.1,267,279.2,3.2,0.28
1979-01-10,3.9,140.1,263.4,276.6,3,0.22
1979-01-11,0.5,131.5,266.3,281.9,3.4,0.44
1979-01-12,2.5,132.4,269.7,280.9,6.7,0.3
1979-01-13,0,144.9,264.3,277,3.8,0.34
1979-01-14,5,99.2,264.3,279.7,5.7,0.44
1979-01-15,4,92.1,267.9,276.1,6,0.2
1979-01-16,25.1,87.1,268.5,277.5,4.6,0.15
1979-01-17,28.6,85.9,269.8,277.1,6.1,0.16
1979-01-18,27.3,83.3,266.5,275.4,5.7,0.15
1979-01-19,12.5,105.8,261.6,273,3.5,0.13
1979-01-20,2.3,154.3,260.8,276.1,4.9,0.28
1979-01-21,1.5,140.9,263.5,279.8,3,0.42
1979-01-22,0,140.4,262.7,276.5,5.1,0.25
1979-01-23,2,157.3,260,274.9,2.7,0.32
1979-01-24,1.8,129.9,262.8,276.6,2.7,0.27
1979-01-25,21.2,105.3,264.9,274.9,5.8,0.11
1979-01-26,9.2,124,259.9,270.9,5.8,0.11
1979-01-27,0,167.5,254.8,270.5,2.5,0.18
1979-01-28,3.8,152.2,256.1,271.1,5.5,0.15
1979-01-29,8.2,154.6,253.4,268.1,5.5,0.09
1979-01-30,0,156.9,252.4,268.2,1.9,0.17
1979-01-31,4.5,95.3,254.5,275.4,4.7,0.2
1979-02-01,12.9,128.2,262,276.7,6.8,0.12
1979-02-02,5.3,165,260.1,276.1,3.3,0.15
1979-02-03,0,154.1,259.3,276.8,2.9,0.22
1979-02-04,0,179.4,257.6,276.8,3.2,0.23
1979-02-05,0,182.4,257.4,275.7,5.5,0.24
1979-02-06,0,181.7,258.2,278,3.9,0.3
1979-02-07,0,183.3,261.3,279.3,2.6,0.31
1979-02-08,0,184.3,265.2,279.8,3.4,0.38
1979-02-09,0,188.6,264.3,282.1,2.2,0.47
1979-02-10,0,189.6,264.8,282.4,2.8,0.48
1979-02-11,0,185,267.9,282.3,2.3,0.53
1979-02-12,0,176.1,269.5,283.4,1.8,0.63
1979-02-13,0,194,270.6,283.8,3.4,0.65
1979-02-14,0,137.3,268.1,282.1,4.6,0.41
1979-02-15,0,174.3,264.7,282.2,2.9,0.34
1979-02-16,0,196.9,264.8,281.6,2.8,0.32
1979-02-17,0,200.9,262.9,280.5,2.3,0.37
1979-02-18,0,200.4,263.2,283.3,2.8,0.49
1979-02-19,8.3,177.5,266.6,283,5.2,0.43
1979-02-20,0,193.4,265.2,281.1,3.1,0.28
1979-02-21,17.2,125,267.3,278.8,7.8,0.17
1979-02-22,5.7,206.9,264.2,278.5,5.6,0.21
1979-02-23,0,140.5,263.7,278.5,5.8,0.23
1979-02-24,0.8,210.1,262.9,281,4,0.38
1979-02-25,0,193.2,264.6,283.7,3.9,0.51
1979-02-26,2.7,162.7,268.2,284.5,3.9,0.48
1979-02-27,0,215.1,265.9,283.2,2.9,0.43
